frequency (cm^-1),IR intensity,eda_syn.out,eda_anti.out,molecule 1
0.000000,0.031970,0.016189,0.015781,0.031970
1.635824,0.032412,0.016475,0.015936,0.032412
1.729554,0.032438,0.016492,0.015945,0.032438
3.271647,0.032878,0.016782,0.016096,0.032878
3.459107,0.032933,0.016818,0.016115,0.032933
4.907471,0.033371,0.017111,0.016260,0.033371
5.188661,0.033459,0.017170,0.016289,0.033459
6.543294,0.033895,0.017466,0.016429,0.033895
6.918214,0.034020,0.017551,0.016469,0.034020
8.179118,0.034454,0.017850,0.016604,0.034454
8.647768,0.034621,0.017967,0.016655,0.034621
9.814941,0.035052,0.018269,0.016783,0.035052
10.377321,0.035268,0.018422,0.016846,0.035268
11.450765,0.035696,0.018727,0.016969,0.035696
12.106875,0.035968,0.018923,0.017045,0.035968
13.086588,0.036391,0.019231,0.017160,0.036391
13.109580,0.036401,0.019238,0.017163,0.036401
13.836428,0.036730,0.019479,0.017250,0.036730
14.722412,0.037147,0.019789,0.017358,0.037147
15.136607,0.037350,0.019940,0.017409,0.037350
15.565982,0.037564,0.020102,0.017463,0.037564
16.358235,0.037975,0.020412,0.017563,0.037975
17.163634,0.038413,0.020747,0.017666,0.038413
17.295535,0.038487,0.020804,0.017683,0.038487
17.994059,0.038888,0.021113,0.017775,0.038888
19.025089,0.039515,0.021603,0.017912,0.039515
19.190661,0.039620,0.021685,0.017935,0.039620
19.629882,0.039904,0.021909,0.017995,0.039904
20.754642,0.040673,0.022523,0.018150,0.040673
21.217688,0.041009,0.022794,0.018216,0.041009
21.265706,0.041045,0.022822,0.018223,0.041045
22.412120,0.041935,0.023547,0.018388,0.041935
22.484196,0.041994,0.023595,0.018398,0.041994
22.901529,0.042341,0.023882,0.018460,0.042341
23.244715,0.042636,0.024126,0.018510,0.042636
23.441460,0.042810,0.024270,0.018540,0.042810
24.213749,0.043520,0.024863,0.018657,0.043520
24.439147,0.043737,0.025046,0.018691,0.043737
24.537353,0.043833,0.025127,0.018706,0.043833
25.271742,0.044581,0.025760,0.018820,0.044581
25.468487,0.044790,0.025939,0.018851,0.044790
25.943303,0.045314,0.026388,0.018926,0.045314
26.173176,0.045577,0.026614,0.018963,0.045577
26.466174,0.045922,0.026911,0.019010,0.045922
27.298769,0.046966,0.027819,0.019147,0.046966
27.495514,0.047227,0.028048,0.019179,0.047227
27.672856,0.047469,0.028260,0.019209,0.047469
27.809000,0.047657,0.028426,0.019232,0.047657
28.493201,0.048658,0.029310,0.019348,0.048658
29.325796,0.050009,0.030518,0.019492,0.050009
29.402410,0.050142,0.030637,0.019505,0.050142
29.444823,0.050217,0.030704,0.019513,0.050217
