wavenumber,intensity
4000,-0.0017
3999.75,-0.0018
3999.5,-0.0019
3999.25,-0.002
3999,-0.0021
3998.75,-0.0022
3998.5,-0.0022
3998.25,-0.0023
3998,-0.0024
3997.75,-0.0024
3997.5,-0.0025
3997.25,-0.0026
3997,-0.0026
3996.75,-0.0026
3996.5,-0.0027
3996.25,-0.0027
3996,-0.0027
3995.75,-0.0028
3995.5,-0.0029
3995.25,-0.0029
3995,-0.003
3994.75,-0.003
3994.5,-0.003
3994.25,-0.003
3994,-0.003
3993.75,-0.003
3993.5,-0.003
3993.25,-0.0031
3993,-0.0031
3992.75,-0.0032
3992.5,-0.0032
3992.25,-0.0032
3992,-0.0032
3991.75,-0.0032
3991.5,-0.0032
3991.25,-0.0032
3991,-0.0032
3990.75,-0.0032
3990.5,-0.0032
3990.25,-0.0032
3990,-0.0032
3989.75,-0.0032
3989.5,-0.0032
3989.25,-0.0032
3989,-0.0032
3988.75,-0.0032
3988.5,-0.0032
3988.25,-0.0032
3988,-0.0032
3987.75,-0.0032
3987.5,-0.0032
3987.25,-0.0032
3987,-0.0032
3986.75,-0.0031
3986.5,-0.0031
3986.25,-0.0031
3986,-0.003
3985.75,-0.003
3985.5,-0.003
3985.25,-0.003
3985,-0.003
3984.75,-0.003
3984.5,-0.003
3984.25,-0.003
3984,-0.003
3983.75,-0.003
3983.5,-0.0029
3983.25,-0.0029
3983,-0.0029
3982.75,-0.0029
3982.5,-0.0029
3982.25,-0.0029
3982,-0.0028
3981.75,-0.0028
3981.5,-0.0028
3981.25,-0.0027
3981,-0.0027
3980.75,-0.0027
3980.5,-0.0026
3980.25,-0.0026
3980,-0.0025
3979.75,-0.0025
3979.5,-0.0026
3979.25,-0.0026
3979,-0.0026
3978.75,-0.0025
3978.5,-0.0025
3978.25,-0.0025
3978,-0.0024
3977.75,-0.0023
3977.5,-0.0023
3977.25,-0.0022
3977,-0.0022
3976.75,-0.0022
3976.5,-0.0021
3976.25,-0.0021
3976,-0.0021
3975.75,-0.002
3975.5,-0.002
3975.25,-0.0019
3975,-0.0018
3974.75,-0.0018
3974.5,-0.0017
3974.25,-0.0016
3974,-0.0016
3973.75,-0.0015
3973.5,-0.0015
3973.25,-0.0014
3973,-0.0012
3972.75,-0.0012
3972.5,-0.0011
3972.25,-0.001
3972,-9.00E-04
3971.75,-9.00E-04
3971.5,-8.00E-04
3971.25,-7.00E-04
3971,-7.00E-04
3970.75,-6.00E-04
3970.5,-4.00E-04
3970.25,-3.00E-04
3970,-2.00E-04
3969.75,-1.00E-04
3969.5,0
3969.25,1.00E-04
3969,3.00E-04
3968.75,4.00E-04
3968.5,5.00E-04
3968.25,7.00E-04
3968,8.00E-04
3967.75,9.00E-04
3967.5,0.0011
3967.25,0.0012
3967,0.0014
3966.75,0.0014
3966.5,0.0015
3966.25,0.0016
3966,0.0017
3965.75,0.0018
3965.5,0.0019
3965.25,0.002
3965,0.0021
3964.75,0.0022
3964.5,0.0024
3964.25,0.0024
3964,0.0025
3963.75,0.0025
3963.5,0.0025
3963.25,0.0025
3963,0.0026
3962.75,0.0027
3962.5,0.0027
3962.25,0.0027
3962,0.0028
3961.75,0.0028
3961.5,0.0028
3961.25,0.0028
3961,0.0027
3960.75,0.0027
3960.5,0.0026
3960.25,0.0026
3960,0.0026
3959.75,0.0026
3959.5,0.0025
3959.25,0.0025
3959,0.0024
3958.75,0.0024
3958.5,0.0023
3958.25,0.0022
3958,0.0022
3957.75,0.0021
3957.5,0.0021
3957.25,0.002
3957,0.0019
3956.75,0.0019
3956.5,0.0018
3956.25,0.0017
3956,0.0017
3955.75,0.0016
3955.5,0.0015
3955.25,0.0014
3955,0.0013
3954.75,0.0013
3954.5,0.0012
3954.25,0.0012
3954,0.0011
3953.75,0.0011
3953.5,0.001
3953.25,0.001
3953,9.00E-04
3952.75,8.00E-04
3952.5,8.00E-04
3952.25,7.00E-04
3952,7.00E-04
3951.75,6.00E-04
3951.5,6.00E-04
3951.25,5.00E-04
3951,4.00E-04
3950.75,3.00E-04
3950.5,2.00E-04
3950.25,1.00E-04
3950,1.00E-04
3949.75,0
3949.5,0
3949.25,-1.00E-04
3949,-1.00E-04
3948.75,-2.00E-04
3948.5,-3.00E-04
3948.25,-4.00E-04
3948,-4.00E-04
3947.75,-5.00E-04
3947.5,-5.00E-04
3947.25,-5.00E-04
3947,-5.00E-04
3946.75,-5.00E-04
3946.5,-5.00E-04
3946.25,-5.00E-04
3946,-5.00E-04
3945.75,-6.00E-04
3945.5,-7.00E-04
3945.25,-8.00E-04
3945,-8.00E-04
3944.75,-9.00E-04
3944.5,-9.00E-04
3944.25,-9.00E-04
3944,-0.001
3943.75,-0.001
3943.5,-0.0011
3943.25,-0.0011
3943,-0.0012
3942.75,-0.0012
3942.5,-0.0012
3942.25,-0.0012
3942,-0.0012
3941.75,-0.0013
3941.5,-0.0013
3941.25,-0.0013
3941,-0.0013
3940.75,-0.0013
3940.5,-0.0014
3940.25,-0.0015
3940,-0.0015
3939.75,-0.0015
3939.5,-0.0015
3939.25,-0.0014
3939,-0.0014
3938.75,-0.0014
3938.5,-0.0014
3938.25,-0.0015
3938,-0.0016
3937.75,-0.0016
3937.5,-0.0016
3937.25,-0.0016
3937,-0.0017
3936.75,-0.0017
3936.5,-0.0017
3936.25,-0.0018
3936,-0.0018
3935.75,-0.0019
3935.5,-0.0019
3935.25,-0.002
3935,-0.002
3934.75,-0.0021
3934.5,-0.0022
3934.25,-0.0023
3934,-0.0023
3933.75,-0.0024
3933.5,-0.0025
3933.25,-0.0026
3933,-0.0027
3932.75,-0.0028
3932.5,-0.0029
3932.25,-0.003
3932,-0.0031
3931.75,-0.0032
3931.5,-0.0033
3931.25,-0.0034
3931,-0.0034
3930.75,-0.0034
3930.5,-0.0034
3930.25,-0.0035
3930,-0.0036
3929.75,-0.0037
3929.5,-0.0038
3929.25,-0.0038
3929,-0.0038
3928.75,-0.0039
3928.5,-0.0039
3928.25,-0.0039
3928,-0.0039
3927.75,-0.0039
3927.5,-0.0039
3927.25,-0.004
3927,-0.004
3926.75,-0.004
3926.5,-0.004
3926.25,-0.0041
3926,-0.0042
3925.75,-0.0043
3925.5,-0.0044
3925.25,-0.0045
3925,-0.0046
3924.75,-0.0046
3924.5,-0.0046
3924.25,-0.0046
3924,-0.0046
3923.75,-0.0046
3923.5,-0.0045
3923.25,-0.0045
3923,-0.0046
3922.75,-0.0046
3922.5,-0.0046
3922.25,-0.0046
3922,-0.0045
3921.75,-0.0045
3921.5,-0.0045
3921.25,-0.0045
3921,-0.0045
3920.75,-0.0045
3920.5,-0.0046
3920.25,-0.0046
3920,-0.0046
3919.75,-0.0046
3919.5,-0.0046
3919.25,-0.0046
3919,-0.0046
3918.75,-0.0046
3918.5,-0.0046
3918.25,-0.0047
3918,-0.0047
3917.75,-0.0046
3917.5,-0.0046
3917.25,-0.0046
3917,-0.0046
3916.75,-0.0046
3916.5,-0.0046
3916.25,-0.0046
3916,-0.0045
3915.75,-0.0045
3915.5,-0.0044
3915.25,-0.0043
3915,-0.0042
3914.75,-0.0041
3914.5,-0.0041
3914.25,-0.0041
3914,-0.004
3913.75,-0.004
3913.5,-0.0039
3913.25,-0.0037
3913,-0.0036
3912.75,-0.0035
3912.5,-0.0034
3912.25,-0.0033
3912,-0.0032
3911.75,-0.0032
3911.5,-0.0032
3911.25,-0.0031
3911,-0.0031
3910.75,-0.0031
3910.5,-0.0031
3910.25,-0.0031
3910,-0.003
3909.75,-0.003
3909.5,-0.003
3909.25,-0.003
3909,-0.003
3908.75,-0.003
3908.5,-0.003
3908.25,-0.0029
3908,-0.0029
3907.75,-0.0028
3907.5,-0.0028
3907.25,-0.0028
3907,-0.0028
3906.75,-0.0029
3906.5,-0.003
3906.25,-0.0031
3906,-0.0031
3905.75,-0.0033
3905.5,-0.0034
3905.25,-0.0035
3905,-0.0037
3904.75,-0.0038
3904.5,-0.0039
3904.25,-0.0039
3904,-0.0039
3903.75,-0.004
3903.5,-0.0041
3903.25,-0.0041
3903,-0.0042
3902.75,-0.0042
3902.5,-0.0043
3902.25,-0.0043
3902,-0.0043
3901.75,-0.0043
3901.5,-0.0043
3901.25,-0.0044
3901,-0.0044
3900.75,-0.0044
3900.5,-0.0044
3900.25,-0.0044
3900,-0.0043
3899.75,-0.0043
3899.5,-0.0043
3899.25,-0.0043
3899,-0.0043
3898.75,-0.0044
3898.5,-0.0043
3898.25,-0.0043
3898,-0.0042
3897.75,-0.004
3897.5,-0.0039
3897.25,-0.0038
3897,-0.0036
3896.75,-0.0035
3896.5,-0.0035
3896.25,-0.0034
3896,-0.0033
3895.75,-0.0032
3895.5,-0.0032
3895.25,-0.0031
3895,-0.003
3894.75,-0.003
3894.5,-0.0029
3894.25,-0.0029
3894,-0.0028
3893.75,-0.0028
3893.5,-0.0027
3893.25,-0.0026
3893,-0.0025
3892.75,-0.0025
3892.5,-0.0025
3892.25,-0.0025
3892,-0.0026
3891.75,-0.0027
3891.5,-0.0027
3891.25,-0.0028
3891,-0.0028
3890.75,-0.0028
3890.5,-0.0028
3890.25,-0.0028
3890,-0.0028
3889.75,-0.0027
3889.5,-0.0026
3889.25,-0.0025
3889,-0.0025
3888.75,-0.0024
3888.5,-0.0024
3888.25,-0.0023
3888,-0.0023
3887.75,-0.0023
3887.5,-0.0024
3887.25,-0.0025
3887,-0.0026
3886.75,-0.0027
3886.5,-0.0028
3886.25,-0.0029
3886,-0.003
3885.75,-0.0031
3885.5,-0.0031
3885.25,-0.0031
3885,-0.0032
3884.75,-0.0033
3884.5,-0.0033
3884.25,-0.0034
3884,-0.0033
3883.75,-0.0033
3883.5,-0.0032
3883.25,-0.0031
3883,-0.0031
3882.75,-0.0031
3882.5,-0.0032
3882.25,-0.0032
3882,-0.0032
3881.75,-0.0032
