wavenumber,intensity
0,0.015781
1.635824,0.015936
1.729554,0.015945
3.271647,0.016096
3.459107,0.016115
4.907471,0.01626
5.188661,0.016289
6.543294,0.016429
6.918214,0.016469
8.179118,0.016604
8.647768,0.016655
9.814941,0.016783
10.377321,0.016846
11.450765,0.016969
12.106875,0.017045
13.086588,0.01716
13.10958,0.017163
13.836428,0.01725
14.722412,0.017358
15.136607,0.017409
15.565982,0.017463
16.358235,0.017563
17.163634,0.017666
17.295535,0.017683
17.994059,0.017775
19.025089,0.017912
19.190661,0.017935
19.629882,0.017995
20.754642,0.01815
21.217688,0.018216
21.265706,0.018223
22.41212,0.018388
22.484196,0.018398
22.901529,0.01846
23.244715,0.01851
23.44146,0.01854
24.213749,0.018657
24.439147,0.018691
24.537353,0.018706
25.271742,0.01882
25.468487,0.018851
25.943303,0.018926
26.173176,0.018963
26.466174,0.01901
27.298769,0.019147
27.495514,0.019179
27.672856,0.019209
27.809,0.019232
28.493201,0.019348
29.325796,0.019492
29.40241,0.019505
29.444823,0.019513
29.522541,0.019526
30.520228,0.019705
30.81043,0.019758
31.080647,0.019808
31.131963,0.019817
31.352823,0.019858
31.549568,0.019895
32.547255,0.020085
32.71647,0.020118
32.861517,0.020146
33.37985,0.020249
33.576595,0.020288
34.30244,0.020436
34.352294,0.020446
34.574282,0.020493
34.59107,0.020496
35.406877,0.020669
35.603622,0.020712
35.988117,0.020796
36.320624,0.02087
36.329467,0.020872
36.601309,0.020933
37.433904,0.021127
37.623941,0.021172
37.630649,0.021174
38.050177,0.021275
38.356494,0.021351
38.628336,0.02142
39.259764,0.021585
39.460931,0.021639
39.657676,0.021693
39.779731,0.021727
40.383521,0.021901
40.655363,0.021983
40.895588,0.022057
41.487958,0.02225
41.509284,0.022257
41.684703,0.022317
42.410548,0.022582
42.531411,0.022629
42.68239,0.022689
43.238838,0.022922
43.514985,0.023047
43.71173,0.023139
44.167235,0.023365
44.437575,0.023508
44.709417,0.023659
44.968391,0.023809
45.542012,0.024168
45.738757,0.0243
45.803058,0.024344
46.05094,0.024517
46.464602,0.024823
46.697945,0.025005
46.736444,0.025035
47.438882,0.025622
47.569039,0.025737
47.765784,0.025913
48.427498,0.026534
48.491629,0.026597
48.763471,0.026863
49.074705,0.027174
49.596066,0.027701
49.792811,0.0279
50.157052,0.028267
50.518656,0.028623
50.710529,0.028807
50.790498,0.028882
51.623094,0.029601
51.819838,0.029749
51.886605,0.029796
52.346352,0.030089
52.545683,0.030194
52.817525,0.030317
52.98696,0.03038
53.616159,0.030527
53.650121,0.030531
53.846865,0.030548
53.982176,0.030552
54.57271,0.030513
54.844552,0.030468
55.345712,0.030352
55.617999,0.030276
55.677148,0.030259
55.873892,0.030199
56.599737,0.029971
56.871579,0.029886
57.075266,0.029825
57.253823,0.029773
57.704175,0.029654
57.900919,0.029607
58.626764,0.02947
58.804819,0.029445
58.889646,0.029435
58.898606,0.029434
59.731202,0.029383
59.927946,0.029384
60.52547,0.029418
60.534373,0.029418
60.653791,0.029431
60.925634,0.029465
61.620859,0.029595
61.758229,0.029627
61.954974,0.029677
62.161294,0.029733
62.263926,0.029763
62.680818,0.029895
62.952661,0.029991
63.785256,0.030323
63.797117,0.030328
63.982001,0.03041
63.99348,0.030415
64.707845,0.030756
64.979688,0.030896
65.432941,0.031139
65.723034,0.031301
65.812283,0.031352
66.009028,0.031467
66.734872,0.031908
67.006715,0.032081
67.068764,0.032121
67.452587,0.032375
67.83931,0.032638
68.036055,0.032776
68.704588,0.03326
68.761899,0.033303
69.033742,0.033508
69.182141,0.033622
69.866337,0.034166
70.063082,0.034328
70.340411,0.034561
70.788926,0.034949
70.911694,0.035057
71.060769,0.035191
71.893364,0.035966
71.976235,0.036047
72.090109,0.036158
72.641248,0.036711
72.815954,0.036892
73.087796,0.037179
73.612058,0.037752
73.920391,0.038102
74.117136,0.03833
74.370801,0.038631
74.842981,0.03921
75.114823,0.039555
