wavenumber,intensity
0,0.016189
1.635824,0.016475
1.729554,0.016492
3.271647,0.016782
3.459107,0.016818
4.907471,0.017111
5.188661,0.01717
6.543294,0.017466
6.918214,0.017551
8.179118,0.01785
8.647768,0.017967
9.814941,0.018269
10.377321,0.018422
11.450765,0.018727
12.106875,0.018923
13.086588,0.019231
13.10958,0.019238
13.836428,0.019479
14.722412,0.019789
15.136607,0.01994
15.565982,0.020102
16.358235,0.020412
17.163634,0.020747
17.295535,0.020804
17.994059,0.021113
19.025089,0.021603
19.190661,0.021685
19.629882,0.021909
20.754642,0.022523
21.217688,0.022794
21.265706,0.022822
22.41212,0.023547
22.484196,0.023595
22.901529,0.023882
23.244715,0.024126
23.44146,0.02427
24.213749,0.024863
24.439147,0.025046
24.537353,0.025127
25.271742,0.02576
25.468487,0.025939
25.943303,0.026388
26.173176,0.026614
26.466174,0.026911
27.298769,0.027819
27.495514,0.028048
27.672856,0.02826
27.809,0.028426
28.493201,0.02931
29.325796,0.030518
29.40241,0.030637
29.444823,0.030704
29.522541,0.030828
30.520228,0.032579
30.81043,0.033156
31.080647,0.033726
31.131963,0.033838
31.352823,0.034335
31.549568,0.0348
32.547255,0.037546
32.71647,0.038089
32.861517,0.038576
33.37985,0.040495
33.576595,0.041307
34.30244,0.04478
34.352294,0.04505
34.574282,0.046308
34.59107,0.046407
35.406877,0.051954
35.603622,0.053536
35.988117,0.056946
36.320624,0.060269
36.329467,0.060363
36.601309,0.063371
37.433904,0.074389
37.623941,0.077324
37.630649,0.07743
38.050177,0.084532
38.356494,0.090274
38.628336,0.095781
39.259764,0.110126
39.460931,0.115163
39.657676,0.120308
39.779731,0.123608
40.383521,0.141136
40.655363,0.149656
40.895588,0.157486
41.487958,0.177874
41.509284,0.178633
41.684703,0.184933
42.410548,0.21177
42.531411,0.216301
42.68239,0.221957
43.238838,0.24252
43.514985,0.252354
43.71173,0.259115
44.167235,0.273674
44.437575,0.28138
44.709417,0.288252
44.968391,0.293855
45.542012,0.302454
45.738757,0.304069
45.803058,0.304442
46.05094,0.305148
46.464602,0.303742
46.697945,0.301553
46.736444,0.301098
47.438882,0.288549
47.569039,0.285429
47.765784,0.280315
48.427498,0.260258
48.491629,0.258131
48.763471,0.248858
49.074705,0.237855
49.596066,0.218954
49.792811,0.21179
50.157052,0.198636
50.518656,0.185859
50.710529,0.179241
50.790498,0.176522
51.623094,0.149849
51.819838,0.144039
51.886605,0.142113
